"","X","time_stamp","event","worker_id","file_name.x","session_id","microtask_id","question_type","question","answer","answer_index","confidence","difficulty","duration","explanation","consent_date","language","profession","gender","learned","years_programming","country","age","test1","test2","test3","test4","test5","qualification_score.x","test_duration","feedback","quit_fileName","quit_reason","line","char_count","cyclomatic_complexity","length_Halstead","volume_Halstead","LOC","trimmed_LOC","s_char_count","s_cyclomatic_complexity","s_length_Halstead","s_volume_Halstead","s_LOC","s_trimmed_LOC","LineID","isBugCovering","type","faulty_lines","all_Lines","LOC_inspection","LOC_original","isAnswerCorrect","file_name.y","adjusted_score","qualification_score.y","testDuration_fastMembership","is_fast"
"183",115,"Tue 2015 Jul 07 09:51:15.564","MICROTASK","59gA3i5E2-7-9:249IE-2a8E-92-1_3","HIT03_6","214EA5i-7I-977","32","METHOD_INVOCATION","Is there any issue with the  method invocation(s) 'charCount; codePointAt'  at line  95 that might be related to the failure?","YES_THERE_IS_AN_ISSUE",2,4,4,409454,"The invocation will call to inspect the input at positions that are out of range (pos)",1.44e+12,"C++","Graduate_Student","Male","University;Web",12,"Colombia",40,TRUE,TRUE,TRUE,TRUE,TRUE,5,334367,"nothing","","",95,62,1,27,75.7985829,1,1,657,10,340,1991.713538,23,16,95,TRUE,"method invocation","95","95",1,1,TRUE,"HIT03_6",0.361631124554418,3,0.670652635478779,TRUE
"185",116,"Tue 2015 Jul 07 09:51:53.850","MICROTASK","270eG-5c6A3-46:65eI-2i-2I-9-36_3","HIT01_8","418Ai0a7g-212","8","METHOD_INVOCATION","Is there any issue with the  method invocation(s) 'safeMultiply'  at line  290 that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",1,5,2,744518,"Line 279 catches the negative parameter and throws an exception matching the exception in the test. Line 290 is not reached with the parameters above.",1.44e+12,"C#","Professional_Developer","Male","High_School;University;Other_On_the_job",20,"USA",38,TRUE,TRUE,TRUE,TRUE,TRUE,5,56650,"","","",290,85,1,20,60,1,1,825,16,305,1644.656814,23,18,290,FALSE,"method invocation","","290",1,1,TRUE,"HIT01_8",0.677612280220928,4,0.57158821794332,TRUE
"192",121,"Tue 2015 Jul 07 09:53:27.490","MICROTASK","270eG-5c6A3-46:65eI-2i-2I-9-36_3","HIT01_8","418Ai0a7g-212","4","IF_CONDITIONAL","Is there any issue with the conditional clause between lines 279 and 281 that might be related to the failure?","YES_THERE_IS_AN_ISSUE",2,5,1,93640,"According to the comments; the minute value should be between -59 and +59; but the conditional statement is checking for a value between 0 and 59.",1.44e+12,"C#","Professional_Developer","Male","High_School;University;Other_On_the_job",20,"USA",38,TRUE,TRUE,TRUE,TRUE,TRUE,5,56650,"","","",279,124,3,38,140.6167093,3,2,825,16,305,1644.656814,23,18,279,TRUE,"conditional","279","279;280",2,2,TRUE,"HIT01_8",0.677612280220928,4,0.57158821794332,TRUE
"195",123,"Tue 2015 Jul 07 09:54:14.134","MICROTASK","270eG-5c6A3-46:65eI-2i-2I-9-36_3","HIT01_8","418Ai0a7g-212","0","VARIABLE_DECLARATION","Is there any issue with the use or the definition of variable 'hoursOffset' in the source code below that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",3,1,1,46644,"The exception is in no way related to the hoursOffset parameter.",1.44e+12,"C#","Professional_Developer","Male","High_School;University;Other_On_the_job",20,"USA",38,TRUE,TRUE,TRUE,TRUE,TRUE,5,56650,"","","",272,118,3,16,53.15084952,1,1,825,16,305,1644.656814,23,18,272,FALSE,"variable","","273;276;277;284",4,5,TRUE,"HIT01_8",0.677612280220928,4,0.57158821794332,TRUE
"201",128,"Tue 2015 Jul 07 09:56:28.337","MICROTASK","941eE-4G9i-56-4:283Aa7E0I474_3","HIT01_8","416iC-9g-3i804","6","VARIABLE_DECLARATION","Is there any issue with the use or the definition of variable 'hoursInMinutes' in the source code below that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",1,5,2,523026,"On line 279: When calling  DateTimeZone.forOffsetHoursMinutes(-2; -15));  the  -15  minutesOffset is out of range of the if statement  if (minutesOffset < 0 || minutesOffset > 59)  thus throwing the error.    The variable horusInMinutes is unrelated to the error that is being thrown as it hasn t even been initiated prior to the Illegal Argument Exception",1.44e+12,"Java","Undergraduate_Student","Male","High_School;University",5,"United States",21,FALSE,TRUE,FALSE,TRUE,TRUE,3,215811,"","","",284,38,1,18,50.5323886,1,1,825,16,305,1644.656814,23,18,284,FALSE,"variable","","284;285;286;288",4,4,TRUE,"HIT01_8",0.880821906012702,4,0.66862125370151,TRUE
"206",130,"Tue 2015 Jul 07 09:57:53.688","MICROTASK","59gA3i5E2-7-9:249IE-2a8E-92-1_3","HIT03_6","214EA5i-7I-977","26","IF_CONDITIONAL","Is there any issue with the conditional clause between lines 86 and 91 that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",3,5,2,398124,"The only call that could provide the error is the call  Character.codePointAt(input;pos) ; but pos is always between 0 and  input  length; as pos is checked to be <len (due to the  continue  sentence) right after it is increased.",1.44e+12,"C++","Graduate_Student","Male","University;Web",12,"Colombia",40,TRUE,TRUE,TRUE,TRUE,TRUE,5,334367,"nothing","","",86,122,3,104,433.6722002,6,5,657,10,340,1991.713538,23,16,86,FALSE,"conditional","","86;87;88;89;90",5,6,TRUE,"HIT03_6",0.361631124554418,3,0.670652635478779,TRUE
"213",134,"Tue 2015 Jul 07 09:59:25.691","MICROTASK","844Cg1g5e1-17:255ei-8G8E85-8_3","HIT01_8","414Ac3a-1a-6-2-5","8","METHOD_INVOCATION","Is there any issue with the  method invocation(s) 'safeMultiply'  at line  290 that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",1,4,3,286373,"When I searched the internet for the method used in this line of code I found that it is supposed to  Multiply two values throwing an exception if overflow occurs. .  Given this definition I do not think the error could have occurred here; since if the multiply overflowed and wrapped around to a negative number we would have received a different exception. ",1.44e+12,"C++; Java","Undergraduate_Student","Male","High_School;University;Web",5,"United States",19,FALSE,TRUE,FALSE,TRUE,TRUE,3,140960,"This task was trickier than some.  It would have been useful to see the definitions for some of the other method that we called. ","","",290,85,1,20,60,1,1,825,16,305,1644.656814,23,18,290,FALSE,"method invocation","","290",1,1,TRUE,"HIT03_6",0.677612280220928,4,0.52779874948518,TRUE
"215",135,"Tue 2015 Jul 07 09:59:40.833","MICROTASK","941eE-4G9i-56-4:283Aa7E0I474_3","HIT01_8","416iC-9g-3i804","2","IF_CONDITIONAL","Is there any issue with the conditional clause between lines 273 and 275 that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",2,5,1,192496,"The error being thrown is on lines 279-281    Lines 273-275 would be returning the timezone rather then throwing errors",1.44e+12,"Java","Undergraduate_Student","Male","High_School;University",5,"United States",21,FALSE,TRUE,FALSE,TRUE,TRUE,3,215811,"","","",273,70,4,38,126.2332676,3,2,825,16,305,1644.656814,23,18,273,FALSE,"conditional","","273;274",2,2,TRUE,"HIT01_8",0.880821906012702,4,0.66862125370151,TRUE
"217",136,"Tue 2015 Jul 07 10:00:28.951","MICROTASK","270eG-5c6A3-46:65eI-2i-2I-9-36_3","HIT03_6","202eI6G3c-180","21","VARIABLE_DECLARATION","Is there any issue with the use or the definition of variable 'len' in the source code below that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",1,4,1,102257,"The variable definition is fine.",1.44e+12,"C#","Professional_Developer","Male","High_School;University;Other_On_the_job",20,"USA",38,TRUE,TRUE,TRUE,TRUE,TRUE,5,56650,"","","",83,25,1,13,33.60451251,1,1,657,10,340,1991.713538,23,16,83,FALSE,"variable","","83;84",2,2,TRUE,"HIT01_8",0.677612280220928,4,0.57158821794332,TRUE
"220",138,"Tue 2015 Jul 07 10:00:43.903","MICROTASK","941eE-4G9i-56-4:283Aa7E0I474_3","HIT01_8","416iC-9g-3i804","8","METHOD_INVOCATION","Is there any issue with the  method invocation(s) 'safeMultiply'  at line  290 that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",3,5,1,63070,"The error is on lines 279-281    The code safeMultiply on line 290 was never even called to create such an error",1.44e+12,"Java","Undergraduate_Student","Male","High_School;University",5,"United States",21,FALSE,TRUE,FALSE,TRUE,TRUE,3,215811,"","","",290,85,1,20,60,1,1,825,16,305,1644.656814,23,18,290,FALSE,"method invocation","","290",1,1,TRUE,"HIT01_8",0.880821906012702,4,0.66862125370151,TRUE
"224",141,"Tue 2015 Jul 07 10:02:35.602","MICROTASK","844Cg1g5e1-17:255ei-8G8E85-8_3","HIT01_8","414Ac3a-1a-6-2-5","4","IF_CONDITIONAL","Is there any issue with the conditional clause between lines 279 and 281 that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",2,5,1,189911,"There is not an issue with this portion of the code; in fact this is where the exception we receive is thrown.  Therefore the issue probably occurs before we reach this part of the code; such as when the arguments are passed into the method.",1.44e+12,"C++; Java","Undergraduate_Student","Male","High_School;University;Web",5,"United States",19,FALSE,TRUE,FALSE,TRUE,TRUE,3,140960,"This task was trickier than some.  It would have been useful to see the definitions for some of the other method that we called. ","","",279,124,3,38,140.6167093,3,2,825,16,305,1644.656814,23,18,279,TRUE,"conditional","279","279;280",2,2,FALSE,"HIT03_6",0.677612280220928,4,0.52779874948518,TRUE
"233",146,"Tue 2015 Jul 07 10:04:11.476","MICROTASK","815aA-9g-4e44-8:182Ae3g-6i-30-5_3","HIT03_6","224Ag-3c-5c303","17","VARIABLE_DECLARATION","Is there any issue with the use or the definition of variable 'out' in the source code below that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",1,5,2,2670227,"The variable  out  does not attempt to access a specific index of any strings in this segment of code. Therefore; it is not related to the failure.",1.44e+12,"Python; SQL; Java","Professional_Developer","Male","University;Other_On_the_job",5,"USA",29,TRUE,TRUE,TRUE,TRUE,TRUE,5,250101,"The test uses the string 'fr__POSIX' which contains a double underscore. Looking through the code; the conditional statement on line 115 is triggered by the second underscore at index [3]; causing an IllegalArgumentException.    As far as I can tell; the source code is written correctly. The input should not have a double underscore (it appears to be missing the Country Code); so the IllegalArgumentException should be expected.","","",75,80,2,16,55.3509059,1,1,657,10,340,1991.713538,23,16,75,FALSE,"variable","","75;76;85;88",3,4,TRUE,"HIT03_6",0.228482860744953,3,0.658028368246277,TRUE
"235",147,"Tue 2015 Jul 07 10:04:58.232","MICROTASK","270eG-5c6A3-46:65eI-2i-2I-9-36_3","HIT03_6","202eI6G3c-180","32","METHOD_INVOCATION","Is there any issue with the  method invocation(s) 'charCount; codePointAt'  at line  95 that might be related to the failure?","YES_THERE_IS_AN_ISSUE",2,2,3,269281,"The pos counter is being incremented in line 89 and line 95 within the while; so it could be incremented beyond the len variable.",1.44e+12,"C#","Professional_Developer","Male","High_School;University;Other_On_the_job",20,"USA",38,TRUE,TRUE,TRUE,TRUE,TRUE,5,56650,"","","",95,62,1,27,75.7985829,1,1,657,10,340,1991.713538,23,16,95,TRUE,"method invocation","95","95",1,1,TRUE,"HIT01_8",0.677612280220928,4,0.57158821794332,TRUE
"239",150,"Tue 2015 Jul 07 10:05:40.882","MICROTASK","270eG-5c6A3-46:65eI-2i-2I-9-36_3","HIT03_6","202eI6G3c-180","26","IF_CONDITIONAL","Is there any issue with the conditional clause between lines 86 and 91 that might be related to the failure?","YES_THERE_IS_AN_ISSUE",3,4,3,42650,"Because the pos is incremented while not being checked; it could exceed the size of the string.",1.44e+12,"C#","Professional_Developer","Male","High_School;University;Other_On_the_job",20,"USA",38,TRUE,TRUE,TRUE,TRUE,TRUE,5,56650,"","","",86,122,3,104,433.6722002,6,5,657,10,340,1991.713538,23,16,86,FALSE,"conditional","","86;87;88;89;90",5,6,FALSE,"HIT01_8",0.677612280220928,4,0.57158821794332,TRUE
"241",151,"Tue 2015 Jul 07 10:06:11.018","MICROTASK","844Cg1g5e1-17:255ei-8G8E85-8_3","HIT01_8","414Ac3a-1a-6-2-5","0","VARIABLE_DECLARATION","Is there any issue with the use or the definition of variable 'hoursOffset' in the source code below that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",3,5,5,215416,"The issue cannot be with hoursOffset since the failure indicated that the minutes were out of range.",1.44e+12,"C++; Java","Undergraduate_Student","Male","High_School;University;Web",5,"United States",19,FALSE,TRUE,FALSE,TRUE,TRUE,3,140960,"This task was trickier than some.  It would have been useful to see the definitions for some of the other method that we called. ","","",272,118,3,16,53.15084952,1,1,825,16,305,1644.656814,23,18,272,FALSE,"variable","","273;276;277;284",4,5,TRUE,"HIT03_6",0.677612280220928,4,0.52779874948518,TRUE
"243",152,"Tue 2015 Jul 07 10:07:55.032","MICROTASK","941eE-4G9i-56-4:283Aa7E0I474_3","HIT03_6","198ge-8c5e308","19","IF_CONDITIONAL","Is there any issue with the conditional clause between lines 79 and 81 that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",1,5,1,236778,"A return statement would not make a program error out. It is more then likely the error resides within the while loop between lines 84-97 as it would be calling character positions (which if done incorrectly commonly causes a StringIndexOutOfBoundsException)",1.44e+12,"Java","Undergraduate_Student","Male","High_School;University",5,"United States",21,FALSE,TRUE,FALSE,TRUE,TRUE,3,215811,"","","",79,28,3,28,72.37895002,3,2,657,10,340,1991.713538,23,16,79,FALSE,"conditional","","79;80",2,3,TRUE,"HIT01_8",0.880821906012702,4,0.66862125370151,TRUE
"245",153,"Tue 2015 Jul 07 10:09:04.815","MICROTASK","1504ic8g0I130:312cI-5a9I-1-82:10eG-8i5a-618_3","HIT03_6","199eg3C-2i94-7","18","IF_CONDITIONAL","Is there any issue with the conditional clause between lines 76 and 78 that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",1,5,2,411175,"There is nothing significant in these lines of code except null check  out of range  exceptions typically comes when arrays or index are involved.",1.44e+12,"C#","Professional_Developer","Male","Web",8,"India",33,TRUE,TRUE,TRUE,TRUE,TRUE,5,973225,"","","",76,85,3,32,101.4376,3,2,657,10,340,1991.713538,23,16,76,FALSE,"conditional","","76;77",2,3,TRUE,"HIT03_6",0.511037248124214,4,0.627198466910305,TRUE
"253",158,"Tue 2015 Jul 07 10:15:42.269","MICROTASK","815aA-9g-4e44-8:182Ae3g-6i-30-5_3","HIT03_6","224Ag-3c-5c303","28","METHOD_INVOCATION","Is there any issue with the  method invocation(s) 'toChars; codePointAt'  at line  87 that might be related to the failure?","YES_THERE_IS_AN_ISSUE",2,4,4,690793,"Character.codePointAt is attempting to access the index of a CharSequence at index  pos  and may be going out of bounds. This is due to  pos  being incremented on line 89 inside the While loop.",1.44e+12,"Python; SQL; Java","Professional_Developer","Male","University;Other_On_the_job",5,"USA",29,TRUE,TRUE,TRUE,TRUE,TRUE,5,250101,"The test uses the string 'fr__POSIX' which contains a double underscore. Looking through the code; the conditional statement on line 115 is triggered by the second underscore at index [3]; causing an IllegalArgumentException.    As far as I can tell; the source code is written correctly. The input should not have a double underscore (it appears to be missing the Country Code); so the IllegalArgumentException should be expected.","","",87,64,1,28,88.75790004,1,1,657,10,340,1991.713538,23,16,87,FALSE,"method invocation","","87",1,1,FALSE,"HIT03_6",0.228482860744953,3,0.658028368246277,TRUE
"256",160,"Tue 2015 Jul 07 10:16:15.591","MICROTASK","1504ic8g0I130:312cI-5a9I-1-82:10eG-8i5a-618_3","HIT03_6","199eg3C-2i94-7","29","METHOD_INVOCATION","Is there any issue with the  method invocation(s) 'write'  at line  88 that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",2,4,3,430776,"Does not seems to be because it seems to writing some characters to some output stream not really doing anything with indexes here...",1.44e+12,"C#","Professional_Developer","Male","Web",8,"India",33,TRUE,TRUE,TRUE,TRUE,TRUE,5,973225,"","","",88,13,1,19,38,1,1,657,10,340,1991.713538,23,16,88,FALSE,"method invocation","","88",1,1,TRUE,"HIT03_6",0.511037248124214,4,0.627198466910305,TRUE
"263",165,"Tue 2015 Jul 07 10:19:04.784","MICROTASK","815aA-9g-4e44-8:182Ae3g-6i-30-5_3","HIT03_6","224Ag-3c-5c303","22","METHOD_INVOCATION","Is there any issue with the  method invocation(s) 'length'  at line  83 that might be related to the failure?","YES_THERE_IS_AN_ISSUE",3,5,2,202515,"If  pos  is the code pointer and it is going out of bounds at line 87; it is because  len  is set too high; causing the While loop to execute one too many times.",1.44e+12,"Python; SQL; Java","Professional_Developer","Male","University;Other_On_the_job",5,"USA",29,TRUE,TRUE,TRUE,TRUE,TRUE,5,250101,"The test uses the string 'fr__POSIX' which contains a double underscore. Looking through the code; the conditional statement on line 115 is triggered by the second underscore at index [3]; causing an IllegalArgumentException.    As far as I can tell; the source code is written correctly. The input should not have a double underscore (it appears to be missing the Country Code); so the IllegalArgumentException should be expected.","","",83,25,1,13,33.60451251,1,1,657,10,340,1991.713538,23,16,83,FALSE,"method invocation","","83;89",1,1,FALSE,"HIT03_6",0.228482860744953,3,0.658028368246277,TRUE
"266",167,"Tue 2015 Jul 07 10:19:13.246","MICROTASK","844Cg1g5e1-17:255ei-8G8E85-8_3","HIT02_24","31eE-6I-5G490","15","METHOD_INVOCATION","Is there any issue with the  method invocation(s) 'Color'  at line  119 that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",1,5,4,268145,"The Color constructor is invoked just as it should be; so this line should be fine.  I am not entirely sure how we are able to return a Color object for this method that is supposed to return a Paint object; I just assume there is some type of conversion/promotion/polymorphism that takes place.",1.44e+12,"C++; Java","Undergraduate_Student","Male","High_School;University;Web",5,"United States",19,FALSE,TRUE,FALSE,TRUE,TRUE,3,140960,"This task was trickier than some.  It would have been useful to see the definitions for some of the other method that we called. ","","",119,26,2,16,37.15084952,1,1,227,2,107,484.0211293,6,6,119,FALSE,"method invocation","","119",1,1,TRUE,"HIT03_6",0.677612280220928,4,0.52779874948518,TRUE
"272",172,"Tue 2015 Jul 07 10:22:27.894","MICROTASK","844Cg1g5e1-17:255ei-8G8E85-8_3","HIT02_24","31eE-6I-5G490","13","METHOD_INVOCATION","Is there any issue with the  method invocation(s) 'min'  at line  116 that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",2,4,2,194647,"On this line min is called just as it should be.  While it may not directly cause the error perhaps there is something about this.lowerBound that later leads to the problem.  It is hard to say without seeing the class definition.",1.44e+12,"C++; Java","Undergraduate_Student","Male","High_School;University;Web",5,"United States",19,FALSE,TRUE,FALSE,TRUE,TRUE,3,140960,"This task was trickier than some.  It would have been useful to see the definitions for some of the other method that we called. ","","",116,33,1,16,44.91767875,1,1,227,2,107,484.0211293,6,6,116,FALSE,"method invocation","","116",1,1,TRUE,"HIT03_6",0.677612280220928,4,0.52779874948518,TRUE
"275",174,"Tue 2015 Jul 07 10:23:39.783","MICROTASK","1504ic8g0I130:312cI-5a9I-1-82:10eG-8i5a-618_3","HIT03_6","199eg3C-2i94-7","23","WHILE_LOOP","Is there any issue with the While-loop between lines 84 and 97 that might be related to the failure?","YES_THERE_IS_AN_ISSUE",3,5,2,444192,"The only place in the code where they are using arrays and dealing with array indexes; high probability of issue being present here",1.44e+12,"C#","Professional_Developer","Male","Web",8,"India",33,TRUE,TRUE,TRUE,TRUE,TRUE,5,973225,"","","",84,427,5,239,1312.55289,14,9,657,10,340,1991.713538,23,16,95,TRUE,"loop","95","84;85;86;87;88;89;90;94;95",9,9,TRUE,"HIT03_6",0.511037248124214,4,0.627198466910305,TRUE
"280",177,"Tue 2015 Jul 07 10:26:03.172","MICROTASK","844Cg1g5e1-17:255ei-8G8E85-8_3","HIT02_24","31eE-6I-5G490","11","VARIABLE_DECLARATION","Is there any issue with the use or the definition of variable 'v' in the source code below that might be related to the failure?","I_DO_NOT_KNOW",3,0,4,215278,"It is hard to say whether or not this line is causing an issue.  It is clear the Math.max is being used correctly; but without seeing the class definition I can not know what this.lowerBound is going to evaluate to.",1.44e+12,"C++; Java","Undergraduate_Student","Male","High_School;University;Web",5,"United States",19,FALSE,TRUE,FALSE,TRUE,TRUE,3,140960,"This task was trickier than some.  It would have been useful to see the definitions for some of the other method that we called. ","","",115,44,1,17,53.88872502,1,1,227,2,107,484.0211293,6,6,115,FALSE,"variable","","115;116",2,2,TRUE,"HIT03_6",0.677612280220928,4,0.52779874948518,TRUE
"284",180,"Tue 2015 Jul 07 10:27:02.058","MICROTASK","519CE-1a-8G700:117Ec-7c4a-50-9:93Ce-7c-8i-69-4_3","HIT01_8","432CE0E-3e-7-31","8","METHOD_INVOCATION","Is there any issue with the  method invocation(s) 'safeMultiply'  at line  290 that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",3,4,4,3949175,"No issues if we import and defined FieldUtils class with the method safeMultiply.  or Import FieldUtils defined API to current class ;So that we can use this method ",1.44e+12,"java;c","Professional_Developer","Female","University",4,"USA",29,TRUE,TRUE,TRUE,TRUE,TRUE,5,555191,"I have got simpler questions in this HIT on locale.I hope my answers get useful to your research","","",290,85,1,20,60,1,1,825,16,305,1644.656814,23,18,290,FALSE,"method invocation","","290",1,1,TRUE,"HIT01_8",0.880821906012702,4,0.663004301766892,TRUE
"285",180,"Tue 2015 Jul 07 10:27:02.058","MICROTASK","519CE-1a-8G700:117Ec-7c4a-50-9:93Ce-7c-8i-69-4_3","HIT01_8","432CE0E-3e-7-31","8","METHOD_INVOCATION","Is there any issue with the  method invocation(s) 'safeMultiply'  at line  290 that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",3,4,4,3949175,"No issues if we import and defined FieldUtils class with the method safeMultiply.  or Import FieldUtils defined API to current class ;So that we can use this method ",1.44e+12,"java;c","Professional_Developer","Female","University",4,"USA",29,TRUE,TRUE,TRUE,TRUE,TRUE,5,555191,"I have got simpler questions in this HIT on locale.I hope my answers get useful to your research","","",290,85,1,20,60,1,1,825,16,305,1644.656814,23,18,290,FALSE,"method invocation","","290",1,1,TRUE,"HIT06_51",0.511037248124214,4,0.65282154944554,TRUE
"287",181,"Tue 2015 Jul 07 10:27:22.414","MICROTASK","59gA3i5E2-7-9:249IE-2a8E-92-1_3","HIT01_8","410Ac-6A7C2-8-3","8","METHOD_INVOCATION","Is there any issue with the  method invocation(s) 'safeMultiply'  at line  290 that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",1,5,1,354378,"The issue is actually that in the call  DateTimeZone.forOffsetHoursMinutes(-2; -15) ; minutesOffset gets a value of -15. Then the argument exception is thrown as line 279 throws it when minutesOffset is <0",1.44e+12,"C++","Graduate_Student","Male","University;Web",12,"Colombia",40,TRUE,TRUE,TRUE,TRUE,TRUE,5,334367,"nothing","","",290,85,1,20,60,1,1,825,16,305,1644.656814,23,18,290,FALSE,"method invocation","","290",1,1,TRUE,"HIT03_6",0.361631124554418,3,0.670652635478779,TRUE
"293",185,"Tue 2015 Jul 07 10:29:51.289","MICROTASK","59gA3i5E2-7-9:249IE-2a8E-92-1_3","HIT01_8","410Ac-6A7C2-8-3","4","IF_CONDITIONAL","Is there any issue with the conditional clause between lines 279 and 281 that might be related to the failure?","YES_THERE_IS_AN_ISSUE",2,5,1,148875,"Yes; this line is exactly the one that produces the exception when minutesOffset is <0. As minutesOffset; being the second argument in the function; gets the value -15 in the call to DateTimeZone.forOffsetHoursMinutes(-2; -15)",1.44e+12,"C++","Graduate_Student","Male","University;Web",12,"Colombia",40,TRUE,TRUE,TRUE,TRUE,TRUE,5,334367,"nothing","","",279,124,3,38,140.6167093,3,2,825,16,305,1644.656814,23,18,279,TRUE,"conditional","279","279;280",2,2,TRUE,"HIT03_6",0.361631124554418,3,0.670652635478779,TRUE
"295",186,"Tue 2015 Jul 07 10:31:58.234","MICROTASK","59gA3i5E2-7-9:249IE-2a8E-92-1_3","HIT01_8","410Ac-6A7C2-8-3","0","VARIABLE_DECLARATION","Is there any issue with the use or the definition of variable 'hoursOffset' in the source code below that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",3,5,1,126945,"The failure speaks of Minutes out of range; and this message is only produced when line 279 is checked for minutesOffset. hoursOffset hasn t anything to do with that.",1.44e+12,"C++","Graduate_Student","Male","University;Web",12,"Colombia",40,TRUE,TRUE,TRUE,TRUE,TRUE,5,334367,"nothing","","",272,118,3,16,53.15084952,1,1,825,16,305,1644.656814,23,18,272,FALSE,"variable","","273;276;277;284",4,5,TRUE,"HIT03_6",0.361631124554418,3,0.670652635478779,TRUE
"297",187,"Tue 2015 Jul 07 10:32:22.826","MICROTASK","645ca0i0i87-5:419ee1I0A201_3","HIT04_7","711gE8i-5c9-20","59","METHOD_INVOCATION","Is there any issue with the  method invocation(s) 'getTime; getEnd; getPeriod; getDataItem'  at line  301 that might be related to the failure?","YES_THERE_IS_AN_ISSUE",1,1,5,316157,"Line 301 is calling assessor functions to set variables to be used to calculate the MaxMiddleIndex. Since the assertion fails when checking the MaxMiddleIndex it is likely there is something wrong with the assessor functions or how the value they return is being manipulated.",1.44e+12,"c++","Professional_Developer","Male","High_School;University;Other_i_really_dont_remember_a_time_when_i_couldnt",20,"USA",25,TRUE,TRUE,TRUE,TRUE,TRUE,5,902830,"nothing to add!","","",301,73,1,41,136.1990519,2,2,1537,19,900,4853.085681,78,52,301,TRUE,"method invocation","301","301",1,1,TRUE,"HIT04_7",0.880821906012702,4,0.546346894217195,TRUE
"299",188,"Tue 2015 Jul 07 10:33:42.839","MICROTASK","645ca0i0i87-5:419ee1I0A201_3","HIT04_7","711gE8i-5c9-20","46","METHOD_INVOCATION","Is there any issue with the  method invocation(s) 'getTime; getStart; getPeriod; getDataItem'  at line  274 that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",2,4,4,80013,"The assertion fails when looking at the MaxMiddleIndex. Since line 274 only deals with the MaxStart and MaxStart isn t used when calculating the MaxMiddleIndex; the error doesn t deal with line 274.",1.44e+12,"c++","Professional_Developer","Male","High_School;University;Other_i_really_dont_remember_a_time_when_i_couldnt",20,"USA",25,TRUE,TRUE,TRUE,TRUE,TRUE,5,902830,"nothing to add!","","",274,81,1,41,136.1990519,2,2,1537,19,900,4853.085681,78,52,274,FALSE,"method invocation","","274",1,1,TRUE,"HIT04_7",0.880821906012702,4,0.546346894217195,TRUE
"302",190,"Tue 2015 Jul 07 10:34:09.679","MICROTASK","23EE-1c8E1-7-2:16eA-3g-9A-7-5-3_3","HIT04_7","709Ie8c8G8-4-1","61","IF_CONDITIONAL","Is there any issue with the conditional clause between lines 304 and 306 that might be related to the failure?","YES_THERE_IS_AN_ISSUE",1,1,5,350264,"This line is causing a 3 to be returned; but it s not clear what the function is supposed to do so I can t say for sure.",1.44e+12,"PHP;MySQL","Professional_Developer","Female","University;Web",6,"INDIA",31,TRUE,TRUE,TRUE,TRUE,FALSE,4,422737,"Very Interesting task. Many Thanks.","","",304,54,2,37,117.2872251,3,2,1537,19,900,4853.085681,78,52,304,FALSE,"conditional","","304;305",2,3,FALSE,"HIT02_24",1.14407742243869,5,0.633395166880102,TRUE
"304",191,"Tue 2015 Jul 07 10:34:30.463","MICROTASK","270eG-5c6A3-46:65eI-2i-2I-9-36_3","HIT04_7","708Ai-6c-3A-45-7","62","IF_CONDITIONAL","Is there any issue with the conditional clause between lines 312 and 321 that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",1,4,2,313788,"Line 312-321 deal with MinEndIndex; while the error is on MaxMiddleIndex.",1.44e+12,"C#","Professional_Developer","Male","High_School;University;Other_On_the_job",20,"USA",38,TRUE,TRUE,TRUE,TRUE,TRUE,5,56650,"","","",312,181,4,117,478.2331524,10,7,1537,19,900,4853.085681,78,52,312,FALSE,"conditional","","312;313;315;316;320",5,10,TRUE,"HIT01_8",0.677612280220928,4,0.57158821794332,TRUE
